ingredient_id,molecule_id
02c4070c-b89f-4368-863c-0cae0128191a,8
02c4070c-b89f-4368-863c-0cae0128191a,14
02c4070c-b89f-4368-863c-0cae0128191a,16
02c4070c-b89f-4368-863c-0cae0128191a,18
02c4070c-b89f-4368-863c-0cae0128191a,19
02c4070c-b89f-4368-863c-0cae0128191a,28
02c4070c-b89f-4368-863c-0cae0128191a,33
02c4070c-b89f-4368-863c-0cae0128191a,38
02c4070c-b89f-4368-863c-0cae0128191a,41
02c4070c-b89f-4368-863c-0cae0128191a,44
02c4070c-b89f-4368-863c-0cae0128191a,51
02c4070c-b89f-4368-863c-0cae0128191a,52
02c4070c-b89f-4368-863c-0cae0128191a,54
02c4070c-b89f-4368-863c-0cae0128191a,55
02c4070c-b89f-4368-863c-0cae0128191a,58
02c4070c-b89f-4368-863c-0cae0128191a,68
02c4070c-b89f-4368-863c-0cae0128191a,69
02c4070c-b89f-4368-863c-0cae0128191a,78
02c4070c-b89f-4368-863c-0cae0128191a,81
02c4070c-b89f-4368-863c-0cae0128191a,86
02c4070c-b89f-4368-863c-0cae0128191a,89
02c4070c-b89f-4368-863c-0cae0128191a,91
02c4070c-b89f-4368-863c-0cae0128191a,113
02c4070c-b89f-4368-863c-0cae0128191a,127
02c4070c-b89f-4368-863c-0cae0128191a,128
02c4070c-b89f-4368-863c-0cae0128191a,129
02c4070c-b89f-4368-863c-0cae0128191a,131
02c4070c-b89f-4368-863c-0cae0128191a,134
02c4070c-b89f-4368-863c-0cae0128191a,154
02c4070c-b89f-4368-863c-0cae0128191a,156
02c4070c-b89f-4368-863c-0cae0128191a,174
02c4070c-b89f-4368-863c-0cae0128191a,192
02c4070c-b89f-4368-863c-0cae0128191a,202
